Geographic code,Geographic name,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
535,Toronto (Census metropolitan area),Ontario,F,5928040,5583064,F,6.2,2235145,2135909,5905.84,1003.8
5350001,5350001,Ontario,F,595,604,F,-1.5,274,247,6.1,97.6
5350002,5350002,Ontario,F,620,657,F,-5.6,279,270,3.17,195.4
5350003,5350003,Ontario,F,749,673,F,11.3,267,258,0.91,820.5
5350004,5350004,Ontario,F,6686,6781,F,-1.4,3609,3455,0.34,19453
5350005,5350005,Ontario,F,6424,5510,F,16.6,3729,3424,0.38,17076
5350006,5350006,Ontario,F,0,0,F,,0,0,0.01,0
5350007.01,5350007.01,Ontario,F,3237,3325,F,-2.6,1827,1747,0.2,16233.7
5350007.02,5350007.02,Ontario,F,4753,4962,F,-4.2,2653,2506,0.44,10891.4
5350008.01,5350008.01,Ontario,F,7503,2729,T,174.9,5192,4954,0.3,25262.6
5350008.02,5350008.02,Ontario,F,9942,6553,T,51.7,6390,6060,1.86,5345.7
5350009,5350009,Ontario,F,567,271,F,109.2,169,166,0.1,5499.5
5350010.01,5350010.01,Ontario,F,5428,4608,F,17.8,3281,3147,0.26,20670.2
5350010.02,5350010.02,Ontario,F,7740,7113,F,8.8,4628,4447,0.55,14144.7
5350011,5350011,Ontario,F,17549,8645,F,103,15207,11891,0.98,17903.5
5350012.01,5350012.01,Ontario,F,11658,5911,F,97.2,7449,6881,0.42,27843.3
5350012.03,5350012.03,Ontario,F,8865,5892,T,50.5,5997,5311,0.47,19003.2
5350012.04,5350012.04,Ontario,F,4899,4772,T,2.7,3258,2956,0.23,21272.3
5350013.01,5350013.01,Ontario,F,6290,4739,T,32.7,4499,4059,0.34,18332.8
5350013.02,5350013.02,Ontario,F,8126,5862,T,38.6,5270,4725,0.42,19449.5
5350014,5350014,Ontario,F,1242,644,F,92.9,975,691,0.47,2628
5350015,5350015,Ontario,F,3663,3411,F,7.4,2451,2226,0.29,12807.7
5350016,5350016,Ontario,F,10101,6063,F,66.6,6527,6180,0.65,15430.8
5350017,5350017,Ontario,F,7906,6883,F,14.9,5250,4663,1.34,5889.5
5350018,5350018,Ontario,F,2456,2088,F,17.6,1319,1248,0.35,7081.9
5350019,5350019,Ontario,F,3258,3127,F,4.2,1410,1365,0.25,13089.6
5350020,5350020,Ontario,F,2390,2352,F,1.6,1028,1014,0.74,3236.3
5350021,5350021,Ontario,F,5199,5081,F,2.3,2830,2661,0.87,5977.9
5350022,5350022,Ontario,F,3883,3767,F,3.1,1577,1504,0.55,6998.9
5350023,5350023,Ontario,F,3208,3340,F,-4,1355,1286,0.69,4673.7
5350024,5350024,Ontario,F,6887,6590,F,4.5,3136,2963,0.71,9713.7
5350025,5350025,Ontario,F,3456,3277,F,5.5,1659,1610,0.53,6540.5
5350026,5350026,Ontario,F,6486,6394,F,1.4,2894,2695,0.78,8344.3
5350027,5350027,Ontario,F,4390,4459,F,-1.5,1818,1724,0.49,9046
5350028.01,5350028.01,Ontario,F,1387,988,T,40.4,728,684,0.21,6690.8
5350028.02,5350028.02,Ontario,F,6198,5130,T,20.8,3007,2836,0.46,13383.7
5350029,5350029,Ontario,F,6987,6495,F,7.6,3099,2962,0.67,10354.2
5350030,5350030,Ontario,F,4529,3831,F,18.2,2319,2195,0.38,11893.4
5350031,5350031,Ontario,F,6274,6176,F,1.6,2864,2765,0.26,24270.8
5350032,5350032,Ontario,F,5363,5264,F,1.9,2976,2641,0.42,12781.2
5350033,5350033,Ontario,F,5042,4979,F,1.3,3010,2733,0.32,15780.9
5350034.01,5350034.01,Ontario,F,4554,4504,F,1.1,2884,2268,0.12,36578.3
5350034.02,5350034.02,Ontario,F,5147,5207,F,-1.2,3409,3055,0.4,12922.4
5350035,5350035,Ontario,F,9876,7262,F,36,6772,5707,0.66,14900.4
5350036,5350036,Ontario,F,5487,4915,F,11.6,3641,3272,0.38,14311.4
5350037,5350037,Ontario,F,4494,4873,F,-7.8,2463,2116,0.45,9957.9
5350038,5350038,Ontario,F,3772,4029,F,-6.4,1820,1638,0.37,10303.2
5350039,5350039,Ontario,F,4192,4678,F,-10.4,1821,1709,0.32,13186.5
5350040,5350040,Ontario,F,4568,4904,F,-6.9,1961,1788,0.37,12396.2
5350041,5350041,Ontario,F,3453,3459,F,-0.2,1588,1453,0.32,10889.3
5350042,5350042,Ontario,F,4570,4532,F,0.8,2150,1965,0.49,9328.4
5350043,5350043,Ontario,F,3965,3907,F,1.5,1863,1704,0.55,7158.3
5350044,5350044,Ontario,F,8825,5033,F,75.3,5124,4629,0.49,17988.2
5350045,5350045,Ontario,F,3453,3637,F,-5.1,1567,1468,0.3,11693.2
5350046,5350046,Ontario,F,3281,3380,F,-2.9,1404,1330,0.42,7808.2
5350047.02,5350047.02,Ontario,F,3791,4189,F,-9.5,2083,1947,0.29,13209.1
5350047.03,5350047.03,Ontario,F,703,700,T,0.4,376,361,0.12,5952.6
5350047.04,5350047.04,Ontario,F,2846,2759,T,3.2,1253,1180,0.27,10394.4
5350048,5350048,Ontario,F,3557,3516,F,1.2,1660,1560,0.34,10617.9
5350049,5350049,Ontario,F,3663,3641,F,0.6,1506,1426,0.46,7879.1
5350050.01,5350050.01,Ontario,F,8746,6824,F,28.2,4553,4336,1.28,6816.8
5350050.03,5350050.03,Ontario,F,1109,1108,T,0.1,606,590,1.7,653.2
5350050.04,5350050.04,Ontario,F,5008,4844,T,3.4,2291,2212,0.76,6589.5
5350051,5350051,Ontario,F,5399,5323,F,1.4,2570,2313,0.69,7807.7
5350052,5350052,Ontario,F,4077,3886,F,4.9,1933,1839,0.5,8134.5
5350053,5350053,Ontario,F,5982,5639,F,6.1,2840,2712,0.68,8755.9
5350054,5350054,Ontario,F,5803,5810,F,-0.1,2975,2724,0.7,8261.7
5350055,5350055,Ontario,F,2763,2693,F,2.6,1403,1320,0.28,10000
5350056,5350056,Ontario,F,4772,4778,F,-0.1,2170,2018,0.51,9367.9
5350057,5350057,Ontario,F,2311,2406,F,-3.9,1226,1108,0.27,8674.9
5350058,5350058,Ontario,F,3980,3869,F,2.9,2063,1888,0.38,10351.1
5350059,5350059,Ontario,F,3837,3955,F,-3,1621,1447,0.37,10466.4
5350060,5350060,Ontario,F,2685,2400,F,11.9,1669,1471,0.27,9885.9
5350061,5350061,Ontario,F,1085,1427,F,-24,536,475,0.77,1414.2
5350062.01,5350062.01,Ontario,F,5595,4981,F,12.3,3852,3302,0.11,52387.6
5350062.02,5350062.02,Ontario,F,9084,6461,F,40.6,6837,5374,0.59,15520.2
5350063.03,5350063.03,Ontario,F,5104,3527,T,44.7,3640,3405,0.09,54646.7
5350063.04,5350063.04,Ontario,F,3370,3407,T,-1.1,2409,2264,0.14,23917.7
5350063.05,5350063.05,Ontario,F,4331,3556,T,21.8,3429,2943,0.13,33315.4
5350063.06,5350063.06,Ontario,F,5171,4737,T,9.2,3761,3519,0.19,26890.3
5350064,5350064,Ontario,F,4311,3858,F,11.7,2898,2683,0.19,22130.4
5350065.01,5350065.01,Ontario,F,2483,2430,T,2.2,1496,1394,0.09,28872.1
5350065.02,5350065.02,Ontario,F,11821,11544,T,2.4,5715,5481,0.14,82433.8
5350066,5350066,Ontario,F,7608,8032,F,-5.3,4597,4425,0.33,23166.9
5350067,5350067,Ontario,F,1694,1677,F,1,868,814,0.65,2600.6
5350068,5350068,Ontario,F,2367,2344,F,1,1296,1203,0.42,5655.9
5350069,5350069,Ontario,F,4923,5271,F,-6.6,2011,1894,0.86,5734.4
5350070,5350070,Ontario,F,3512,3416,F,2.8,1774,1712,0.44,7980
5350071,5350071,Ontario,F,3481,3504,F,-0.7,1521,1402,0.46,7498.9
5350072.01,5350072.01,Ontario,F,4586,4641,F,-1.2,1949,1864,0.41,11315.1
5350072.02,5350072.02,Ontario,F,3141,3122,F,0.6,1320,1261,0.54,5850.3
5350073,5350073,Ontario,F,2605,2751,F,-5.3,1077,1007,0.36,7292.8
5350074,5350074,Ontario,F,3848,3629,F,6,1710,1598,0.4,9624.8
5350075,5350075,Ontario,F,4083,4060,F,0.6,1839,1760,0.5,8190.6
5350076,5350076,Ontario,F,4415,3950,F,11.8,1993,1937,0.46,9646.1
5350077,5350077,Ontario,F,4670,4476,F,4.3,1968,1907,0.61,7652
5350078,5350078,Ontario,F,6016,5949,F,1.1,2980,2854,0.78,7760.6
5350079,5350079,Ontario,F,7327,6991,F,4.8,2986,2887,1.02,7194.6
5350080.01,5350080.01,Ontario,F,3352,3414,F,-1.8,1496,1428,0.47,7104.7
5350080.02,5350080.02,Ontario,F,4686,4485,F,4.5,2073,2011,0.39,11996.9
5350081,5350081,Ontario,F,2848,2792,F,2,1140,1076,0.37,7741.2
5350082,5350082,Ontario,F,2766,2605,F,6.2,1060,1027,0.31,8971.8
5350083,5350083,Ontario,F,4052,4047,F,0.1,1908,1822,0.45,9077.1
5350084,5350084,Ontario,F,3810,3754,F,1.5,1613,1498,0.41,9317.7
5350085,5350085,Ontario,F,3994,3899,F,2.4,2154,2078,0.49,8112.9
5350086,5350086,Ontario,F,2661,2679,F,-0.7,965,921,1.14,2337.1
5350087,5350087,Ontario,F,5155,5074,F,1.6,2652,2491,1.6,3218.5
5350088,5350088,Ontario,F,3249,3016,F,7.7,1997,1821,0.23,14144.5
5350089,5350089,Ontario,F,3896,3288,F,18.5,2995,2345,0.33,11816.8
5350090,5350090,Ontario,F,4144,3680,F,12.6,2584,2347,0.39,10512.4
5350091.01,5350091.01,Ontario,F,6031,6065,F,-0.6,3639,3224,0.51,11788.5
5350091.02,5350091.02,Ontario,F,3525,3359,F,4.9,2288,2009,0.33,10773.2
5350092,5350092,Ontario,F,7278,7151,F,1.8,4113,3718,0.63,11576.3
5350093,5350093,Ontario,F,5652,5634,F,0.3,2490,2291,0.62,9148.6
5350094,5350094,Ontario,F,4950,5072,F,-2.4,2177,2048,0.64,7742.8
5350095,5350095,Ontario,F,3095,3130,F,-1.1,1392,1319,0.32,9809.8
5350096.01,5350096.01,Ontario,F,1658,1660,T,-0.1,694,658,0.2,8265.2
5350096.02,5350096.02,Ontario,F,3336,3329,T,0.2,1494,1398,0.35,9553.3
5350097.01,5350097.01,Ontario,F,4322,4290,F,0.7,1758,1621,0.38,11305.3
5350097.03,5350097.03,Ontario,F,1207,1062,T,13.7,783,679,0.17,7029.7
5350097.04,5350097.04,Ontario,F,5462,4350,T,25.6,2528,2392,0.32,16816.5
5350098,5350098,Ontario,F,7099,6785,F,4.6,3123,3002,0.72,9924.5
5350099,5350099,Ontario,F,6585,6369,F,3.4,3380,3241,0.58,11326.1
5350100,5350100,Ontario,F,2956,2518,F,17.4,1492,1432,0.29,10224.8
5350101,5350101,Ontario,F,3128,3092,F,1.2,1595,1464,0.43,7272.7
5350102.02,5350102.02,Ontario,F,4313,4301,F,0.3,2688,2535,0.12,37309.7
5350102.03,5350102.03,Ontario,F,3682,3121,F,18,2178,2095,0.13,28128.3
5350102.04,5350102.04,Ontario,F,671,704,T,-4.7,309,285,0.1,6623.9
5350102.05,5350102.05,Ontario,F,861,812,T,6,359,340,0.12,7235.3
5350103,5350103,Ontario,F,6050,5985,F,1.1,2627,2527,0.84,7221.3
5350104,5350104,Ontario,F,5525,5314,F,4,2141,2054,0.74,7491.5
5350105,5350105,Ontario,F,4509,4537,F,-0.6,1917,1790,0.55,8133.1
5350106,5350106,Ontario,F,3773,3880,F,-2.8,1427,1343,1.37,2752.4
5350107,5350107,Ontario,F,5085,5873,F,-13.4,1880,1751,0.72,7074.3
5350108,5350108,Ontario,F,6013,6137,F,-2,2679,2475,0.74,8168.7
5350109,5350109,Ontario,F,5496,4953,F,11,2299,2203,0.63,8778.2
5350110,5350110,Ontario,F,3577,3393,F,5.4,1557,1434,0.55,6556.1
5350111,5350111,Ontario,F,2507,2623,F,-4.4,968,902,0.46,5499
5350112,5350112,Ontario,F,5295,5031,F,5.2,2181,2035,0.5,10556.2
5350113,5350113,Ontario,F,2754,2696,F,2.2,1197,1118,0.38,7203.8
5350114,5350114,Ontario,F,5349,5318,F,0.6,2471,2369,0.62,8561.1
5350115,5350115,Ontario,F,4372,4474,F,-2.3,1670,1597,0.38,11652.5
5350116,5350116,Ontario,F,4628,4194,F,10.3,2044,1921,0.68,6827
5350117,5350117,Ontario,F,2211,2101,F,5.2,1165,1106,0.39,5653.3
5350118,5350118,Ontario,F,4127,3900,F,5.8,2183,1990,0.69,5948.4
5350119,5350119,Ontario,F,4630,4486,F,3.2,2485,2310,0.85,5436.8
5350120,5350120,Ontario,F,1381,1360,F,1.5,697,654,0.26,5367.3
5350121,5350121,Ontario,F,2659,2210,F,20.3,1629,1448,0.3,8946.8
5350122,5350122,Ontario,F,6220,5931,F,4.9,3655,3443,0.53,11654.5
5350123,5350123,Ontario,F,2268,2151,F,5.4,1494,1467,0.08,30240
5350124,5350124,Ontario,F,5416,5354,F,1.2,3470,3278,0.56,9725.3
5350125,5350125,Ontario,F,4442,4508,F,-1.5,1618,1543,1.12,3965.7
5350126,5350126,Ontario,F,4248,4106,F,3.5,1746,1693,1.45,2931.3
5350127,5350127,Ontario,F,5450,5367,F,1.5,2325,2236,0.74,7358.9
5350128.02,5350128.02,Ontario,F,8705,8345,F,4.3,5052,4766,0.52,16779.1
5350128.04,5350128.04,Ontario,F,4698,4202,F,11.8,2994,2927,0.16,29000
5350128.05,5350128.05,Ontario,F,945,953,T,-0.8,366,304,0.18,5203.7
5350128.06,5350128.06,Ontario,F,4199,4025,T,4.3,2601,2523,0.09,48882.4
5350129,5350129,Ontario,F,5770,4948,F,16.6,2787,2622,0.93,6221.7
5350130,5350130,Ontario,F,3543,3720,F,-4.8,1365,1279,1.28,2769.5
5350131,5350131,Ontario,F,5310,5405,F,-1.8,2505,2360,1.04,5083.3
5350132,5350132,Ontario,F,5467,5473,F,-0.1,2155,2038,0.92,5912.8
5350133,5350133,Ontario,F,7339,7001,F,4.8,3629,3408,0.67,10998.1
5350134,5350134,Ontario,F,2959,2788,F,6.1,1076,1033,0.42,7092.5
5350135,5350135,Ontario,F,6047,5630,F,7.4,3316,3054,0.72,8442
5350136.01,5350136.01,Ontario,F,6128,6073,F,0.9,4023,3779,0.19,31916.7
5350136.02,5350136.02,Ontario,F,4983,4995,F,-0.2,3459,3198,0.21,23706
5350137,5350137,Ontario,F,7077,6509,F,8.7,3644,3509,0.91,7740.3
5350138,5350138,Ontario,F,3103,3132,F,-0.9,1250,1181,0.97,3214.2
5350139.01,5350139.01,Ontario,F,4167,4145,T,0.5,1904,1824,0.77,5385.8
5350139.02,5350139.02,Ontario,F,2542,2526,T,0.6,961,920,0.51,4989.2
5350140,5350140,Ontario,F,2408,2479,F,-2.9,826,791,0.57,4209.8
5350141.01,5350141.01,Ontario,F,4320,4249,F,1.7,1685,1620,0.55,7854.5
5350141.02,5350141.02,Ontario,F,4477,4599,F,-2.7,1624,1561,0.69,6512
5350142,5350142,Ontario,F,5810,5693,F,2.1,2313,2237,1.04,5565.7
5350150,5350150,Ontario,F,4201,4190,F,0.3,1640,1586,1.07,3939.4
5350151,5350151,Ontario,F,3784,3731,F,1.4,1577,1535,0.63,5979.8
5350152,5350152,Ontario,F,4545,4318,F,5.3,1846,1764,0.85,5317.7
5350153,5350153,Ontario,F,4462,4602,F,-3,1783,1685,0.93,4811.3
5350154,5350154,Ontario,F,6157,5801,F,6.1,2899,2818,2.1,2936
5350155,5350155,Ontario,F,3128,3297,F,-5.1,1316,1206,0.81,3848.4
5350156.01,5350156.01,Ontario,F,5688,5818,F,-2.2,2365,2273,0.61,9395.4
5350156.02,5350156.02,Ontario,F,2811,2749,F,2.3,1124,1073,0.59,4747.5
5350157,5350157,Ontario,F,2635,2643,F,-0.3,1107,1016,0.46,5689.9
5350158,5350158,Ontario,F,2848,2240,F,27.1,1346,1250,0.64,4451.4
5350159.01,5350159.01,Ontario,F,3487,3837,F,-9.1,1386,1223,0.49,7081.6
5350159.02,5350159.02,Ontario,F,4723,4561,F,3.6,1843,1709,0.58,8209.6
5350160,5350160,Ontario,F,3116,3230,F,-3.5,1246,1143,0.73,4241.2
5350161,5350161,Ontario,F,6839,6621,F,3.3,2689,2537,0.81,8432.8
5350162,5350162,Ontario,F,5119,4968,F,3,2059,1952,0.58,8890.2
5350163,5350163,Ontario,F,4358,4348,F,0.2,1882,1762,0.45,9590.7
5350164,5350164,Ontario,F,6258,6331,F,-1.2,2629,2515,0.63,9966.6
5350165,5350165,Ontario,F,4370,4300,F,1.6,2031,1943,0.48,9012.2
5350166,5350166,Ontario,F,4180,4178,F,0,1691,1625,0.79,5317.4
5350167.01,5350167.01,Ontario,F,1879,1801,F,4.3,1483,1312,0.13,14001.5
5350167.02,5350167.02,Ontario,F,5815,5630,F,3.3,3143,2998,0.6,9667.5
5350168,5350168,Ontario,F,5475,5426,F,0.9,2665,2458,0.57,9678.3
5350169.01,5350169.01,Ontario,F,3472,3433,F,1.1,1457,1334,0.38,9182.8
5350169.02,5350169.02,Ontario,F,7464,7424,F,0.5,3318,3202,0.44,17041.1
5350170,5350170,Ontario,F,3321,3445,F,-3.6,1305,1201,1.01,3274.8
5350171,5350171,Ontario,F,4055,3919,F,3.5,1613,1522,0.61,6668.3
5350172,5350172,Ontario,F,2522,2569,F,-1.8,1183,1128,1.21,2083.8
5350173,5350173,Ontario,F,3694,3168,F,16.6,1528,1438,0.6,6141.3
5350174,5350174,Ontario,F,7264,7334,F,-1,2751,2723,1.05,6928
5350175.01,5350175.01,Ontario,F,6036,5953,F,1.4,2551,2406,0.79,7676.5
5350175.02,5350175.02,Ontario,F,7679,7988,F,-3.9,3813,3585,0.71,10824.6
5350176,5350176,Ontario,F,4277,4229,F,1.1,1697,1609,1,4257.4
5350180,5350180,Ontario,F,6556,6517,F,0.6,2875,2765,0.61,10679.3
5350181.01,5350181.01,Ontario,F,4313,4326,F,-0.3,1940,1858,0.57,7560
5350181.02,5350181.02,Ontario,F,3552,3500,F,1.5,1664,1591,0.6,5901.3
5350182,5350182,Ontario,F,5531,5366,F,3.1,2297,2186,0.76,7272.8
5350183.01,5350183.01,Ontario,F,2603,2535,T,2.7,1048,1007,0.52,4966.6
5350183.02,5350183.02,Ontario,F,3938,3919,T,0.5,1584,1522,0.43,9196.6
5350184.01,5350184.01,Ontario,F,5108,4892,F,4.4,2346,2307,0.47,10767.3
5350184.02,5350184.02,Ontario,F,3768,3760,F,0.2,1694,1642,0.56,6757.5
5350185.01,5350185.01,Ontario,F,6810,6772,F,0.6,3507,3394,0.5,13647.3
5350185.02,5350185.02,Ontario,F,4689,4791,F,-2.1,2305,2269,1.2,3921.6
5350186,5350186,Ontario,F,2416,2298,F,5.1,949,913,1.86,1297.7
5350187,5350187,Ontario,F,3448,3405,F,1.3,1424,1351,1.2,2878.1
5350188,5350188,Ontario,F,2017,1953,F,3.3,842,797,0.55,3655.3
5350189,5350189,Ontario,F,5462,5472,F,-0.2,2226,2180,1.24,4406.3
5350190.01,5350190.01,Ontario,F,9127,9077,F,0.6,3577,3507,0.4,22681.4
5350190.02,5350190.02,Ontario,F,4765,4615,F,3.3,2102,2026,0.58,8197.1
5350191,5350191,Ontario,F,4229,4214,F,0.4,1853,1779,0.82,5137.3
5350192,5350192,Ontario,F,905,956,F,-5.3,462,440,0.92,986.8
5350193,5350193,Ontario,F,3314,3059,F,8.3,1070,1043,1.38,2396.2
5350194.01,5350194.01,Ontario,F,5498,5313,F,3.5,1482,1463,0.22,24922.9
5350194.02,5350194.02,Ontario,F,6240,5659,F,10.3,1934,1923,0.35,18013.9
5350194.03,5350194.03,Ontario,F,2933,2762,F,6.2,1238,1229,0.25,11722.6
5350194.04,5350194.04,Ontario,F,6437,5491,F,17.2,2571,2508,2.29,2813.5
5350195.01,5350195.01,Ontario,F,4483,4334,T,3.4,1656,1604,0.95,4737.4
5350195.02,5350195.02,Ontario,F,2317,2258,T,2.6,920,894,0.38,6124.8
5350196.01,5350196.01,Ontario,F,1977,2373,T,-16.7,811,775,0.38,5237.1
5350196.02,5350196.02,Ontario,F,5635,5748,T,-2,2376,2250,1.11,5097.7
5350200.01,5350200.01,Ontario,F,5614,5400,T,4,3143,3055,0.53,10524.9
5350200.02,5350200.02,Ontario,F,981,960,T,2.2,680,649,0.14,6903.6
5350201,5350201,Ontario,F,5371,4922,F,9.1,2989,2776,0.75,7138.5
5350202,5350202,Ontario,F,1647,1640,F,0.4,653,631,0.34,4903.2
5350203,5350203,Ontario,F,3160,3017,F,4.7,1507,1431,0.59,5364.1
5350204,5350204,Ontario,F,4537,4380,F,3.6,2310,2210,0.74,6122.8
5350205,5350205,Ontario,F,149,184,F,-19,0,0,0.73,204.8
5350206.01,5350206.01,Ontario,F,4217,3972,F,6.2,2151,2041,1.11,3783.8
5350206.02,5350206.02,Ontario,F,5867,5660,F,3.7,2994,2774,1.09,5406.9
5350207,5350207,Ontario,F,2605,2302,F,13.2,1285,1181,0.67,3867.3
5350208,5350208,Ontario,F,4172,4034,F,3.4,2062,1981,1.29,3223.9
5350209,5350209,Ontario,F,2718,2747,F,-1.1,1338,1252,0.69,3922.1
5350210.01,5350210.01,Ontario,F,3083,2619,T,17.7,1008,971,2.96,1041.6
5350210.02,5350210.02,Ontario,F,11390,5236,T,117.5,9168,7016,0.91,12511
5350211,5350211,Ontario,F,6350,6286,F,1,2512,2447,3.27,1941.2
5350212,5350212,Ontario,F,5704,5618,F,1.5,2220,2169,1.68,3397.9
5350213.01,5350213.01,Ontario,F,2666,2568,T,3.8,1021,990,0.94,2829.5
5350213.02,5350213.02,Ontario,F,6045,4224,T,43.1,3246,3134,6.99,864.7
5350214,5350214,Ontario,F,5069,4307,F,17.7,2466,2389,2.82,1794.9
5350215,5350215,Ontario,F,6748,6565,F,2.8,2991,2789,2.6,2600
5350216,5350216,Ontario,F,5532,5494,F,0.7,2238,2163,1.98,2793.5
5350217,5350217,Ontario,F,5692,5782,F,-1.6,2917,2756,1.21,4704.5
5350218,5350218,Ontario,F,2652,2657,F,-0.2,1060,1025,0.68,3882.3
5350219,5350219,Ontario,F,4427,4193,F,5.6,1690,1644,1.36,3254
5350220,5350220,Ontario,F,4177,4069,F,2.7,1597,1584,1.3,3219.5
5350221.01,5350221.01,Ontario,F,6377,6367,F,0.2,2751,2725,1.62,3925.8
5350221.02,5350221.02,Ontario,F,5202,4376,F,18.9,2167,2064,0.81,6461.3
5350222.01,5350222.01,Ontario,F,6699,5409,F,23.8,2626,2557,1.29,5213.2
5350222.02,5350222.02,Ontario,F,5141,5124,F,0.3,1830,1782,1.2,4283.1
5350223.01,5350223.01,Ontario,F,1522,1488,T,2.3,536,530,0.87,1744.6
5350223.02,5350223.02,Ontario,F,2136,2153,T,-0.8,793,771,0.87,2449
5350224,5350224,Ontario,F,1696,1743,F,-2.7,578,573,1.04,1624.1
5350225.01,5350225.01,Ontario,F,4981,5034,F,-1.1,2387,2316,0.93,5330.1
5350225.02,5350225.02,Ontario,F,9706,7777,F,24.8,5006,4859,0.3,31843.8
5350226,5350226,Ontario,F,3167,3216,F,-1.5,1262,1212,0.95,3321.8
5350227,5350227,Ontario,F,1750,1748,F,0.1,637,626,0.49,3558.4
5350228,5350228,Ontario,F,3131,2951,F,6.1,1418,1362,0.82,3829.5
5350229,5350229,Ontario,F,1223,1255,F,-2.5,393,384,0.32,3819.5
5350230.01,5350230.01,Ontario,F,2537,2279,F,11.3,1109,1082,1.45,1752.3
5350230.02,5350230.02,Ontario,F,6537,6176,F,5.8,2775,2606,0.99,6631.2
5350231,5350231,Ontario,F,6461,6488,F,-0.4,2722,2566,3.03,2133.5
5350232,5350232,Ontario,F,3825,3995,F,-4.3,1348,1306,2.05,1869.5
5350233,5350233,Ontario,F,5530,5459,F,1.3,2032,1982,2.08,2658.3
5350234,5350234,Ontario,F,4524,4550,F,-0.6,1645,1600,2.12,2136.7
5350235.01,5350235.01,Ontario,F,2841,2812,F,1,1009,997,1.41,2019.3
5350235.02,5350235.02,Ontario,F,5277,5397,F,-2.2,2039,2010,1.08,4894.7
5350236.01,5350236.01,Ontario,F,6646,6551,F,1.5,2560,2519,0.99,6734.9
5350236.02,5350236.02,Ontario,F,5946,6051,F,-1.7,2284,2256,3.95,1504.1
5350237.01,5350237.01,Ontario,F,6816,6258,F,8.9,2468,2410,1.19,5750.4
5350237.02,5350237.02,Ontario,F,2986,2861,F,4.4,1077,1061,0.96,3126
5350237.03,5350237.03,Ontario,F,5638,5522,F,2.1,2626,2544,1.07,5274.1
5350238.01,5350238.01,Ontario,F,3350,3336,F,0.4,1259,1231,1.04,3227
5350238.02,5350238.02,Ontario,F,5244,5199,F,0.9,2070,1953,0.98,5342.3
5350239,5350239,Ontario,F,6481,6571,F,-1.4,2511,2383,2.53,2561.6
5350240.01,5350240.01,Ontario,F,3366,3366,F,0,1291,1263,1.27,2644.8
5350240.02,5350240.02,Ontario,F,6043,5715,F,5.7,2621,2558,1.05,5782.8
5350241,5350241,Ontario,F,3231,3127,F,3.3,1030,1003,1.09,2967.2
5350242,5350242,Ontario,F,1674,1741,F,-3.8,610,575,0.61,2759.2
5350243.01,5350243.01,Ontario,F,6658,6457,F,3.1,2236,2142,0.32,21129.8
5350243.02,5350243.02,Ontario,F,3617,3496,F,3.5,1342,1304,1.22,2975.7
5350244.01,5350244.01,Ontario,F,5677,5795,F,-2,2009,1945,1.43,3957.2
