Geographic code,Geographic name,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
5350244.02,5350244.02,Ontario,F,3779,3755,F,0.6,1335,1274,1.43,2640.3
5350245,5350245,Ontario,F,6934,6903,F,0.4,2672,2567,1.42,4879.7
5350246,5350246,Ontario,F,3595,3585,F,0.3,1317,1279,1.07,3351
5350247.01,5350247.01,Ontario,F,8727,8842,F,-1.3,2931,2748,17.29,504.8
5350247.02,5350247.02,Ontario,F,7167,6864,F,4.4,2537,2385,3.23,2221.5
5350248.02,5350248.02,Ontario,F,5671,5724,F,-0.9,1864,1784,1.21,4688.3
5350248.03,5350248.03,Ontario,F,2619,2789,F,-6.1,789,754,3.73,701.7
5350248.04,5350248.04,Ontario,F,4771,5359,F,-11,1671,1496,1.48,3220
5350248.05,5350248.05,Ontario,F,4332,4475,F,-3.2,1413,1310,1.12,3859.9
5350249.01,5350249.01,Ontario,F,4650,4812,F,-3.4,1428,1341,0.83,5603.8
5350249.03,5350249.03,Ontario,F,5696,5771,F,-1.3,1704,1592,2.96,1922.3
5350249.04,5350249.04,Ontario,F,3344,3283,F,1.9,999,952,0.69,4872.5
5350249.05,5350249.05,Ontario,F,5476,5518,F,-0.8,1584,1534,0.64,8507.1
5350250.01,5350250.01,Ontario,F,5432,5172,F,5,1618,1545,1.38,3940.2
5350250.02,5350250.02,Ontario,F,4928,4966,F,-0.8,1854,1735,1.93,2559.7
5350250.04,5350250.04,Ontario,F,6206,6031,F,2.9,2057,1994,0.48,12840.9
5350250.05,5350250.05,Ontario,F,7607,7420,F,2.5,2288,2270,0.67,11273
5350260.01,5350260.01,Ontario,F,6748,6869,F,-1.8,2431,2398,0.72,9423.3
5350260.04,5350260.04,Ontario,F,4147,4090,F,1.4,1498,1480,0.19,22046.8
5350260.05,5350260.05,Ontario,F,4020,3800,F,5.8,1369,1332,0.25,15808.1
5350260.06,5350260.06,Ontario,F,3348,3304,T,1.3,1132,1116,0.93,3603.9
5350260.07,5350260.07,Ontario,F,3670,4105,T,-10.6,1534,1504,0.34,10693.5
5350261,5350261,Ontario,F,5501,5450,F,0.9,2284,2194,1.91,2881
5350262.01,5350262.01,Ontario,F,5736,5472,F,4.8,2752,2728,0.67,8549.7
5350262.02,5350262.02,Ontario,F,6273,6260,F,0.2,2526,2490,2.14,2931.9
5350263.02,5350263.02,Ontario,F,3471,3175,F,9.3,1680,1629,2.01,1730.1
5350263.03,5350263.03,Ontario,F,4906,5514,F,-11,2106,2060,1.56,3143.3
5350263.04,5350263.04,Ontario,F,6531,5247,F,24.5,3616,3536,0.67,9694.2
5350264,5350264,Ontario,F,1301,1447,F,-10.1,482,435,3.47,375.4
5350265,5350265,Ontario,F,4756,4047,F,17.5,1855,1742,2.68,1773.2
5350266,5350266,Ontario,F,3209,3219,F,-0.3,1141,1064,2.76,1163.8
5350267,5350267,Ontario,F,6368,6606,F,-3.6,2133,2062,2.71,2350.9
5350268,5350268,Ontario,F,6419,6376,F,0.7,2938,2837,3.03,2120.7
5350269.01,5350269.01,Ontario,F,5056,4924,F,2.7,2354,2081,0.74,6811.3
5350269.02,5350269.02,Ontario,F,2569,2574,F,-0.2,951,923,1.74,1477.8
5350270.01,5350270.01,Ontario,F,4980,5152,F,-3.3,2117,1953,1.12,4431
5350270.02,5350270.02,Ontario,F,4264,4093,F,4.2,1636,1611,0.76,5639.5
5350271.01,5350271.01,Ontario,F,2429,2413,F,0.7,899,893,0.89,2718.5
5350271.02,5350271.02,Ontario,F,4815,4801,F,0.3,1765,1749,0.71,6791.3
5350272.01,5350272.01,Ontario,F,5987,5884,F,1.8,2408,2342,0.46,13152.5
5350272.02,5350272.02,Ontario,F,4705,4776,F,-1.5,1791,1763,1,4711.1
5350273.01,5350273.01,Ontario,F,4014,4035,F,-0.5,1311,1231,3.19,1258.9
5350273.02,5350273.02,Ontario,F,4160,4318,F,-3.7,1530,1477,1.29,3228.1
5350274.01,5350274.01,Ontario,F,4900,4871,F,0.6,1788,1756,1.52,3213.3
5350274.02,5350274.02,Ontario,F,4738,4734,F,0.1,2056,1964,1.33,3558.7
5350275,5350275,Ontario,F,5836,5782,F,0.9,2451,2347,1.98,2953.6
5350276.01,5350276.01,Ontario,F,6446,6389,F,0.9,2764,2642,1.23,5257.3
5350276.02,5350276.02,Ontario,F,6870,6720,F,2.2,2514,2398,1.28,5354.6
5350277,5350277,Ontario,F,4084,4294,F,-4.9,1323,1220,1.03,3973.1
5350278,5350278,Ontario,F,7734,7770,F,-0.5,2944,2679,1.33,5798
5350279.01,5350279.01,Ontario,F,4028,4179,F,-3.6,1665,1523,1.21,3317.1
5350279.02,5350279.02,Ontario,F,6503,6823,F,-4.7,2195,2117,1.58,4120.5
5350280,5350280,Ontario,F,7333,7364,F,-0.4,2993,2920,2.14,3424.1
5350281.01,5350281.01,Ontario,F,6484,6475,F,0.1,2324,2256,0.96,6740.8
5350281.02,5350281.02,Ontario,F,3940,3948,F,-0.2,1350,1306,0.42,9462.1
5350282,5350282,Ontario,F,4480,4406,F,1.7,1663,1607,2.22,2021.4
5350283.01,5350283.01,Ontario,F,5399,5333,F,1.2,1965,1938,0.93,5814.8
5350283.02,5350283.02,Ontario,F,4542,4618,F,-1.6,1761,1712,1.17,3892
5350284,5350284,Ontario,F,6840,6914,F,-1.1,2427,2349,1.41,4841.8
5350285,5350285,Ontario,F,3271,3283,F,-0.4,1269,1207,1.11,2942.6
5350286,5350286,Ontario,F,4273,3685,F,16,1987,1704,3.25,1316.1
5350287.02,5350287.02,Ontario,F,6732,6874,F,-2.1,2401,2246,1.06,6364.8
5350287.03,5350287.03,Ontario,F,3432,3723,T,-7.8,1444,1305,0.48,7088
5350287.04,5350287.04,Ontario,F,4474,3719,T,20.3,2069,2017,0.59,7530.7
5350288,5350288,Ontario,F,9970,8441,F,18.1,4165,4002,2.63,3790.9
5350289,5350289,Ontario,F,4713,4532,F,4,1779,1725,1.3,3618.7
5350290.01,5350290.01,Ontario,F,3620,3487,T,3.8,1515,1475,0.94,3834.3
5350290.02,5350290.02,Ontario,F,1534,1204,T,27.4,782,717,0.35,4434.8
5350291.02,5350291.02,Ontario,F,4947,4833,F,2.4,2010,1927,1.15,4315.6
5350291.03,5350291.03,Ontario,F,2302,2274,T,1.2,945,903,0.42,5516.4
5350291.04,5350291.04,Ontario,F,1585,1577,T,0.5,680,654,0.52,3073.5
5350292,5350292,Ontario,F,6721,6942,F,-3.2,2893,2247,3.74,1796.3
5350293,5350293,Ontario,F,6242,4304,F,45,2197,2103,1.99,3132.4
5350294.01,5350294.01,Ontario,F,4386,4343,F,1,1586,1547,0.86,5104.2
5350294.02,5350294.02,Ontario,F,4504,4663,F,-3.4,1453,1384,1.03,4392
5350295,5350295,Ontario,F,5180,5336,F,-2.9,2035,1907,1.08,4785.7
5350296,5350296,Ontario,F,64,131,F,-51.1,19,19,4.64,13.8
5350297.01,5350297.01,Ontario,F,7313,6866,F,6.5,3119,3027,1.14,6417.7
5350297.02,5350297.02,Ontario,F,6502,6171,F,5.4,2716,2552,1.51,4306.5
5350298,5350298,Ontario,F,4661,4482,F,4,1605,1566,2.27,2051.1
5350299.01,5350299.01,Ontario,F,6256,6015,F,4,2319,2207,2.89,2162.5
5350299.02,5350299.02,Ontario,F,5247,4145,F,26.6,3019,2815,0.16,32937.9
5350300,5350300,Ontario,F,13667,10038,F,36.2,7532,6956,1.03,13220.2
5350301.01,5350301.01,Ontario,F,2915,2862,F,1.9,1087,1071,0.9,3253.3
5350301.03,5350301.03,Ontario,F,6949,4402,F,57.9,2944,2789,0.27,25398.4
5350301.04,5350301.04,Ontario,F,5859,4069,F,44,2615,2502,1.43,4107.8
5350302.01,5350302.01,Ontario,F,6253,6387,F,-2.1,2406,2358,1.23,5088.3
5350302.02,5350302.02,Ontario,F,6140,6177,F,-0.6,2092,2037,1.08,5663.7
5350302.03,5350302.03,Ontario,F,3425,3580,F,-4.3,1205,1124,0.69,4935.9
5350303,5350303,Ontario,F,5355,5425,F,-1.3,1893,1819,1.06,5035.7
5350304.01,5350304.01,Ontario,F,4541,4540,F,0,1633,1610,0.25,18215
5350304.02,5350304.02,Ontario,F,4777,4168,F,14.6,1885,1832,1.21,3941.1
5350304.03,5350304.03,Ontario,F,2898,2938,F,-1.4,994,968,0.97,2998.1
5350304.04,5350304.04,Ontario,F,3724,3668,F,1.5,1415,1404,0.23,15887.4
5350304.05,5350304.05,Ontario,F,2847,2881,F,-1.2,1112,1096,0.7,4050.4
5350304.06,5350304.06,Ontario,F,5807,6057,F,-4.1,2258,2207,0.75,7754
5350305.01,5350305.01,Ontario,F,4451,4586,F,-2.9,1626,1564,2.42,1842
5350305.03,5350305.03,Ontario,F,4914,4865,F,1,2338,2178,0.71,6907.5
5350305.04,5350305.04,Ontario,F,9133,5282,F,72.9,5153,4822,1,9093
5350306.01,5350306.01,Ontario,F,4574,4679,F,-2.2,1586,1478,1.17,3902.4
5350306.02,5350306.02,Ontario,F,4793,4375,F,9.6,1831,1714,1.12,4283.3
5350307.03,5350307.03,Ontario,F,5039,5000,F,0.8,2359,2238,0.11,45726
5350307.04,5350307.04,Ontario,F,7035,6276,F,12.1,3530,3360,0.15,45980.4
5350307.05,5350307.05,Ontario,F,3581,3538,F,1.2,2038,1926,0.1,34235.2
5350307.06,5350307.06,Ontario,F,5424,5498,F,-1.3,2374,2266,0.1,52053.7
5350307.07,5350307.07,Ontario,F,6321,5637,F,12.1,2651,2366,1.22,5160.8
5350308.02,5350308.02,Ontario,F,4310,4437,F,-2.9,1688,1588,1.42,3025
5350308.03,5350308.03,Ontario,F,1147,1162,T,-1.3,425,385,0.4,2891.4
5350308.04,5350308.04,Ontario,F,11479,9405,T,22.1,5941,5576,1.09,10577.8
5350309,5350309,Ontario,F,6383,6323,F,0.9,2354,2308,0.74,8605.9
5350310.01,5350310.01,Ontario,F,3512,3367,F,4.3,1271,1204,1.42,2470.3
5350310.02,5350310.02,Ontario,F,5048,5201,F,-2.9,2028,1858,2.14,2357.4
5350311.02,5350311.02,Ontario,F,5823,5930,F,-1.8,2308,2141,0.89,6536.8
5350311.03,5350311.03,Ontario,F,2651,2648,F,0.1,923,863,0.8,3326.2
5350311.04,5350311.04,Ontario,F,6552,6864,F,-4.5,2436,2247,0.96,6845.7
5350311.05,5350311.05,Ontario,F,6823,6576,F,3.8,2681,2593,0.35,19748.2
5350311.06,5350311.06,Ontario,F,5744,5695,F,0.9,2703,2326,10.23,561.4
5350312.02,5350312.02,Ontario,F,3448,3624,F,-4.9,1185,1077,0.52,6580.2
5350312.03,5350312.03,Ontario,F,6420,6518,F,-1.5,2219,2164,1.49,4316.5
5350312.04,5350312.04,Ontario,F,5763,5930,F,-2.8,1820,1718,0.73,7942.4
5350312.05,5350312.05,Ontario,F,3836,3803,F,0.9,1348,1295,0.35,11089.9
5350312.06,5350312.06,Ontario,F,3444,3626,F,-5,1086,1058,0.46,7513.1
5350312.07,5350312.07,Ontario,F,3076,3226,F,-4.6,1312,1221,0.62,4929.5
5350313,5350313,Ontario,F,5554,5496,F,1.1,1945,1808,2.86,1938.6
5350314.01,5350314.01,Ontario,F,5036,5055,F,-0.4,1741,1676,0.43,11766.4
5350314.02,5350314.02,Ontario,F,4955,5302,F,-6.5,1704,1568,1.07,4610.6
5350315.01,5350315.01,Ontario,F,3368,3333,F,1.1,1223,1122,1.47,2285.1
5350315.02,5350315.02,Ontario,F,3543,3666,F,-3.4,1170,1076,0.43,8283.8
5350315.03,5350315.03,Ontario,F,5505,5526,F,-0.4,1895,1699,6.01,915.9
5350316.01,5350316.01,Ontario,F,3910,4023,F,-2.8,1301,1224,1.77,2203.2
5350316.03,5350316.03,Ontario,F,5888,5761,F,2.2,2039,1948,0.4,14694.3
5350316.04,5350316.04,Ontario,F,4275,4415,F,-3.2,1760,1679,0.47,9193.5
5350316.05,5350316.05,Ontario,F,3992,4148,F,-3.8,1373,1309,0.41,9827.7
5350316.06,5350316.06,Ontario,F,3672,3710,F,-1,1198,1164,0.41,9064.4
5350317.02,5350317.02,Ontario,F,7347,7215,F,1.8,3408,3336,0.43,16999.1
5350317.03,5350317.03,Ontario,F,3688,3665,F,0.6,1264,1245,1.19,3090.8
5350317.04,5350317.04,Ontario,F,6627,6016,F,10.2,2594,2534,0.72,9179.9
5350317.05,5350317.05,Ontario,F,2229,2227,F,0.1,834,811,0.5,4499.4
5350318,5350318,Ontario,F,8574,8371,F,2.4,3568,3330,1.91,4497.7
5350319,5350319,Ontario,F,4191,4168,F,0.6,1616,1527,1.2,3487.8
5350320.01,5350320.01,Ontario,F,5197,4813,F,8,2103,2036,0.74,7054.4
5350320.02,5350320.02,Ontario,F,5869,5700,F,3,2129,2067,0.85,6883.7
5350321.01,5350321.01,Ontario,F,3830,3839,F,-0.2,1340,1258,1.26,3046
5350321.02,5350321.02,Ontario,F,4030,4128,F,-2.4,1497,1429,1.22,3310.6
5350322.01,5350322.01,Ontario,F,4737,4917,F,-3.7,2371,2242,0.21,22774
5350322.02,5350322.02,Ontario,F,3500,3539,F,-1.1,1262,1185,1.41,2487.4
5350323.01,5350323.01,Ontario,F,4289,4102,F,4.6,1746,1706,1.03,4148.4
5350323.02,5350323.02,Ontario,F,5367,5624,F,-4.6,1935,1849,1.85,2895.3
5350324.01,5350324.01,Ontario,F,3498,3804,F,-8,1214,1143,1.18,2958.9
5350324.02,5350324.02,Ontario,F,6123,6458,F,-5.2,2256,2133,1.89,3233.9
5350324.03,5350324.03,Ontario,F,3862,4098,F,-5.8,1762,1701,2.17,1781.9
5350324.05,5350324.05,Ontario,F,3388,3488,F,-2.9,1405,1382,0.66,5163.1
5350324.06,5350324.06,Ontario,F,3561,3612,F,-1.4,1219,1182,0.66,5433.3
5350330,5350330,Ontario,F,4288,4240,F,1.1,1757,1730,2.19,1954.7
5350331.01,5350331.01,Ontario,F,5629,5576,F,1,2287,2261,1.52,3703
5350331.03,5350331.03,Ontario,F,6162,5912,F,4.2,1931,1877,0.51,12072.9
5350331.04,5350331.04,Ontario,F,3212,3224,F,-0.4,1288,1261,1.06,3029.9
5350332,5350332,Ontario,F,7350,7473,F,-1.6,2914,2785,1.53,4815.6
5350333,5350333,Ontario,F,4695,4774,F,-1.7,1710,1644,2.4,1956.9
5350334,5350334,Ontario,F,3500,3593,F,-2.6,1358,1274,2.38,1470.2
5350335,5350335,Ontario,F,7740,7336,F,5.5,3026,2984,2.23,3468.1
5350336,5350336,Ontario,F,6772,6691,F,1.2,2553,2393,1.63,4144.2
5350337.01,5350337.01,Ontario,F,721,669,T,7.8,357,316,0.2,3574.6
5350337.02,5350337.02,Ontario,F,2155,2264,T,-4.8,888,862,0.62,3480.3
5350338,5350338,Ontario,F,5956,5639,F,5.6,2729,2627,1.65,3609.5
5350339,5350339,Ontario,F,6687,6593,F,1.4,3110,3000,1.82,3664.7
5350340,5350340,Ontario,F,6771,6541,F,3.5,2557,2457,1.28,5310.6
5350341.02,5350341.02,Ontario,F,4379,3992,F,9.7,1860,1777,0.78,5624.9
5350341.03,5350341.03,Ontario,F,3436,5073,F,-32.3,1465,1334,0.41,8475.6
5350341.04,5350341.04,Ontario,F,6030,4432,F,36.1,2261,2171,0.67,8986.6
5350342,5350342,Ontario,F,7561,6407,F,18,2414,2376,1.23,6133.2
5350343,5350343,Ontario,F,4218,4075,F,3.5,1620,1517,1.1,3841.5
5350344.01,5350344.01,Ontario,F,5186,5038,F,2.9,1990,1880,1.06,4879.1
5350344.02,5350344.02,Ontario,F,3365,3452,F,-2.5,1850,1829,0.22,15240
5350345,5350345,Ontario,F,3938,3680,F,7,1328,1258,0.79,5000.6
5350346.01,5350346.01,Ontario,F,4634,4888,F,-5.2,1717,1609,1.52,3048.9
5350346.02,5350346.02,Ontario,F,5388,5095,F,5.8,2066,2029,0.4,13449.8
5350347,5350347,Ontario,F,2833,2610,F,8.5,931,924,1.5,1883.4
5350348,5350348,Ontario,F,5601,5137,F,9,2007,1972,2.32,2417.9
5350349,5350349,Ontario,F,5720,5644,F,1.3,2335,2309,0.88,6528.9
5350350,5350350,Ontario,F,5419,5412,F,0.1,2063,1986,3.36,1612
5350351.01,5350351.01,Ontario,F,5497,5284,F,4,2130,2051,0.97,5639.1
5350351.02,5350351.02,Ontario,F,2756,2712,F,1.6,1116,1088,0.57,4871.8
5350352,5350352,Ontario,F,5309,5387,F,-1.4,1945,1892,1.13,4709.5
5350353.02,5350353.02,Ontario,F,5305,5263,F,0.8,1697,1649,1.21,4372.4
5350353.03,5350353.03,Ontario,F,3107,3189,F,-2.6,1100,1075,0.41,7596.6
5350353.04,5350353.04,Ontario,F,4509,4461,F,1.1,1650,1590,0.63,7162.8
5350354,5350354,Ontario,F,5403,5086,F,6.2,1826,1695,1.33,4053.3
5350355.02,5350355.02,Ontario,F,5214,5374,F,-3,1980,1919,1.11,4718.1
5350355.04,5350355.04,Ontario,F,5270,5255,F,0.3,1810,1776,0.58,9131.9
5350355.05,5350355.05,Ontario,F,3033,3080,T,-1.5,1056,993,0.31,9650
5350355.06,5350355.06,Ontario,F,1643,1470,T,11.8,603,559,0.19,8543.9
5350356,5350356,Ontario,F,4833,4610,F,4.8,1633,1555,1.55,3109.4
5350357.01,5350357.01,Ontario,F,7123,7266,F,-2,2490,2404,1.05,6776.7
5350357.02,5350357.02,Ontario,F,4940,4890,F,1,1774,1693,1.11,4467
5350358.01,5350358.01,Ontario,F,3397,3460,F,-1.8,1180,1129,1.11,3060.4
5350358.02,5350358.02,Ontario,F,4732,4590,F,3.1,2021,1955,0.62,7657
5350358.03,5350358.03,Ontario,F,5598,5565,F,0.6,2304,2217,1.1,5101.1
5350359,5350359,Ontario,F,7558,7058,F,7.1,2773,2687,2.24,3380
5350360,5350360,Ontario,F,6107,5874,F,4,2040,1998,4.52,1352
5350361.01,5350361.01,Ontario,F,5804,5869,F,-1.1,1963,1928,2.93,1981.7
5350361.02,5350361.02,Ontario,F,7558,7224,F,4.6,2476,2451,2.46,3075.6
5350362.01,5350362.01,Ontario,F,6300,6279,F,0.3,2153,2083,2.48,2540.7
5350362.02,5350362.02,Ontario,F,5628,5902,F,-4.6,1731,1626,1.94,2895.8
5350362.03,5350362.03,Ontario,F,6866,7195,F,-4.6,2176,2074,3.26,2107.9
5350362.04,5350362.04,Ontario,F,5019,4996,F,0.5,1796,1756,1.35,3709.5
5350363.02,5350363.02,Ontario,F,3253,3233,F,0.6,1115,1106,1.2,2716.5
5350363.04,5350363.04,Ontario,F,3668,3624,F,1.2,1119,1106,1.13,3254.1
5350363.05,5350363.05,Ontario,F,4538,4721,F,-3.9,1776,1694,0.5,9018.3
5350363.06,5350363.06,Ontario,F,7307,6658,F,9.7,3439,3326,0.83,8815.3
5350363.07,5350363.07,Ontario,F,5338,5566,F,-4.1,1971,1925,2.28,2344.6
5350364.01,5350364.01,Ontario,F,5996,6009,F,-0.2,2034,1973,2.91,2062.7
5350364.02,5350364.02,Ontario,F,3053,2942,F,3.8,1004,957,0.74,4104.6
5350365,5350365,Ontario,F,6497,6772,F,-4.1,2028,1946,1.57,4145.3
5350366,5350366,Ontario,F,6136,6130,F,0.1,2143,2069,1.44,4260.2
5350367.01,5350367.01,Ontario,F,4710,4896,F,-3.8,1398,1375,0.71,6605.9
5350367.02,5350367.02,Ontario,F,3548,3620,F,-2,1218,1186,1.03,3442.7
5350368.01,5350368.01,Ontario,F,6843,5516,F,24.1,3786,3582,0.89,7702.6
5350368.02,5350368.02,Ontario,F,4315,4308,F,0.2,1464,1399,1.57,2742.5
5350369,5350369,Ontario,F,8094,7703,F,5.1,2520,2441,2.47,3281.6
5350370.01,5350370.01,Ontario,F,9977,10205,F,-2.2,3792,3725,1.77,5648.2
5350370.02,5350370.02,Ontario,F,5580,4975,F,12.2,1849,1803,2.27,2454
5350370.03,5350370.03,Ontario,F,4137,3796,F,9,1409,1357,0.86,4826.2
5350371,5350371,Ontario,F,7626,6999,F,9,2691,2570,3.72,2052.7
5350372,5350372,Ontario,F,4346,4364,F,-0.4,1504,1440,1.33,3263
5350373,5350373,Ontario,F,4806,4599,F,4.5,1869,1801,0.96,5002.1
5350374.01,5350374.01,Ontario,F,4848,4844,F,0.1,1717,1656,1.19,4081.8
5350374.02,5350374.02,Ontario,F,3215,3265,F,-1.5,1084,1053,0.8,4007.7
5350374.03,5350374.03,Ontario,F,4184,4247,F,-1.5,1718,1655,0.81,5176.9
5350375.01,5350375.01,Ontario,F,6324,6131,F,3.1,2817,2733,0.95,6633.1
5350375.02,5350375.02,Ontario,F,1959,1950,F,0.5,702,694,0.61,3214.1
5350375.03,5350375.03,Ontario,F,5318,5412,F,-1.7,1917,1866,0.81,6537.2
5350375.04,5350375.04,Ontario,F,5300,5477,F,-3.2,1667,1633,0.92,5733.4
5350375.05,5350375.05,Ontario,F,7208,7320,F,-1.5,2484,2449,1.13,6374.8
5350376.01,5350376.01,Ontario,F,5094,5248,F,-2.9,1697,1584,1.05,4866.3
5350376.02,5350376.02,Ontario,F,5176,5278,F,-1.9,1656,1614,0.85,6067.3
5350376.04,5350376.04,Ontario,F,5460,5256,F,3.9,1866,1804,1.19,4572.9
5350376.05,5350376.05,Ontario,F,6860,7132,F,-3.8,2045,1998,1.29,5328.2
5350376.06,5350376.06,Ontario,F,484,515,F,-6,229,219,2.19,220.8
5350376.08,5350376.08,Ontario,F,6157,6378,F,-3.5,2176,2123,0.88,7006.1
5350376.09,5350376.09,Ontario,F,4638,4865,F,-4.7,1644,1602,0.8,5790.3
5350376.11,5350376.11,Ontario,F,3416,3627,F,-5.8,1067,1014,0.47,7257.3
5350376.12,5350376.12,Ontario,F,5318,5460,F,-2.6,1922,1887,0.91,5829.2
5350376.13,5350376.13,Ontario,F,3902,3976,F,-1.9,1386,1362,0.51,7636
5350376.14,5350376.14,Ontario,F,3763,3788,F,-0.7,1091,1053,0.74,5110.7
5350376.15,5350376.15,Ontario,F,3696,3943,F,-6.3,1574,1518,0.92,4016.5
5350376.16,5350376.16,Ontario,F,4226,3737,F,13.1,1672,1621,0.27,15565.4
5350377.01,5350377.01,Ontario,F,8996,6650,F,35.3,3752,3574,2.06,4366.1
5350377.02,5350377.02,Ontario,F,4405,4683,F,-5.9,1493,1407,1.91,2311.2
5350377.03,5350377.03,Ontario,F,2815,2866,F,-1.8,892,868,0.65,4329.4
5350377.04,5350377.04,Ontario,F,5939,6114,F,-2.9,1746,1682,0.88,6722.1
5350377.06,5350377.06,Ontario,F,3809,3856,F,-1.2,1001,980,0.51,7442.4
5350377.07,5350377.07,Ontario,F,4857,5162,F,-5.9,1321,1282,0.76,6351.5
5350378.02,5350378.02,Ontario,F,3257,3374,F,-3.5,979,929,1.06,3073.8
5350378.03,5350378.03,Ontario,F,7363,7593,F,-3,2503,2434,2.21,3336.5
5350378.04,5350378.04,Ontario,F,6148,6109,F,0.6,1826,1753,1.28,4806.5
5350378.05,5350378.05,Ontario,F,3907,4028,F,-3,1235,1201,0.73,5369.7
5350378.06,5350378.06,Ontario,F,6063,6252,F,-3,1754,1671,1.79,3386.2
5350378.07,5350378.07,Ontario,F,7099,7281,F,-2.5,2311,2226,2.8,2535.2
5350378.08,5350378.08,Ontario,F,6263,6571,F,-4.7,1997,1953,0.89,7071.2
5350378.11,5350378.11,Ontario,F,5693,5874,F,-3.1,1748,1713,0.96,5910.5
5350378.12,5350378.12,Ontario,F,5181,5293,F,-2.1,1904,1828,0.78,6609.3
5350378.14,5350378.14,Ontario,F,3892,4074,F,-4.5,1184,1168,0.93,4189
5350378.16,5350378.16,Ontario,F,6103,6438,F,-5.2,2005,1923,0.63,9615.6
5350378.17,5350378.17,Ontario,F,3336,3499,F,-4.7,961,903,0.47,7036.5
5350378.18,5350378.18,Ontario,F,2765,2881,F,-4,1114,1100,0.09,30384.6
5350378.19,5350378.19,Ontario,F,5162,5223,F,-1.2,1438,1411,4.5,1146.1
5350378.2,5350378.2,Ontario,F,2093,2263,F,-7.5,775,769,0.11,19114.2
5350378.21,5350378.21,Ontario,F,3948,3627,F,8.9,1056,1043,0.7,5623.9
5350378.22,5350378.22,Ontario,F,3454,3640,F,-5.1,891,877,0.53,6492.5
5350378.23,5350378.23,Ontario,F,4095,4248,F,-3.6,1334,1302,1.53,2676.3
5350378.24,5350378.24,Ontario,F,6109,6406,F,-4.6,2218,2147,2.53,2415.7
5350378.25,5350378.25,Ontario,F,7931,7558,F,4.9,1885,1858,4.77,1664.2
5350378.26,5350378.26,Ontario,F,4761,4675,F,1.8,1165,1144,1.63,2927.5
5350378.27,5350378.27,Ontario,F,5806,5627,F,3.2,1556,1530,20,290.3
5350378.28,5350378.28,Ontario,F,7175,7451,F,-3.7,2041,1925,2.22,3236.4
5350400.02,5350400.02,Ontario,F,5911,6261,F,-5.6,1914,1877,1.67,3531.7
5350400.03,5350400.03,Ontario,F,2961,3032,F,-2.3,966,945,0.8,3717.5
5350400.04,5350400.04,Ontario,F,1961,2026,F,-3.2,757,724,3.29,596.8
5350400.06,5350400.06,Ontario,F,3062,3075,F,-0.4,1046,1034,0.94,3243
5350400.07,5350400.07,Ontario,F,3316,3397,F,-2.4,1201,1175,1.57,2108.9
5350400.08,5350400.08,Ontario,F,2844,2771,F,2.6,1413,1358,1.75,1628.7
5350400.11,5350400.11,Ontario,F,6259,6472,F,-3.3,1651,1564,1.67,3743.6
5350400.12,5350400.12,Ontario,F,6829,7219,F,-5.4,2223,2188,1.73,3956.3
5350400.13,5350400.13,Ontario,F,6678,6233,F,7.1,1704,1651,1.28,5231.1
5350400.14,5350400.14,Ontario,F,6116,6328,F,-3.4,1604,1530,1.05,5799.9
5350400.15,5350400.15,Ontario,F,4629,4739,F,-2.3,1605,1586,2.14,2158.2
5350400.16,5350400.16,Ontario,F,5388,5586,F,-3.5,1465,1446,2.22,2428.7
5350400.17,5350400.17,Ontario,F,4679,4825,F,-3,1276,1179,0.6,7827
5350400.18,5350400.18,Ontario,F,2507,2604,F,-3.7,776,699,0.3,8472.5
5350400.19,5350400.19,Ontario,F,10048,7253,F,38.5,3081,3031,2.49,4036
5350400.2,5350400.2,Ontario,F,4250,2668,F,59.3,1227,1182,5.24,811.6
